OBJECTID,FIPS,NAME,COUNTY,HSR,MAP_SYMBOL,CTYREG_EST,STATE_AVG,POPOVER18,HSR_SYMBOL,DELMCC,MCONFINT
1,08043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,13,Second Quintile,County/Regional Estimate 15.2% (95% C.I.: 11.6 - 18.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2932,Second Quintile,11.4,95% C.I.: 10.6 - 12.3
2,08045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,12,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3030,Fourth Quintile,14.7,95% C.I.: 13.7 - 15.9
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,2,Second Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),91,Middle Quintile,11.6,95% C.I.: 11.1 - 12
4,08125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,1,Lowest Quintile,County/Regional Estimate 13.2% (95% C.I.: 4.8 - 21.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4339,Second Quintile,9.3,95% C.I.: 8.1 - 11.2
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,2,Lowest Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),942,Lowest Quintile,8.3,95% C.I.: 7.9 - 8.6
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2,Lowest Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2203,Lowest Quintile,7.6,95% C.I.: 7.2 - 7.9
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,11,Lowest Quintile,County/Regional Estimate 6.1% (95% C.I.: 2 - 10.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2034,Lowest Quintile,6.1,95% C.I.: 4.8 - 9
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,11,Lowest Quintile,County/Regional Estimate 6.1% (95% C.I.: 2 - 10.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2993,Lowest Quintile,5.4,95% C.I.: 4.1 - 9.3
9,08049000201,"Census Tract 2.01, Grand County, Colorado",Grand,12,Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 3.2 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3850,Lowest Quintile,8.2,95% C.I.: 7 - 9.7
10,08049000202,"Census Tract 2.02, Grand County, Colorado",Grand,12,Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 3.2 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5497,Lowest Quintile,9.8,95% C.I.: 8.5 - 12.2
11,08049000100,"Census Tract 1, Grand County, Colorado",Grand,12,Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 3.2 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2366,Lowest Quintile,8.8,95% C.I.: 7.6 - 11.1
12,08081000600,"Census Tract 6, Moffat County, Colorado",Moffat,11,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 4 - 12.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1170,Second Quintile,8.3,95% C.I.: 6.8 - 12
13,08081000500,"Census Tract 5, Moffat County, Colorado",Moffat,11,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 4 - 12.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3086,Second Quintile,8.4,95% C.I.: 7 - 10.2
14,08081000400,"Census Tract 4, Moffat County, Colorado",Moffat,11,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 4 - 12.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3195,Second Quintile,9.2,95% C.I.: 7.7 - 12.1
15,08081000300,"Census Tract 3, Moffat County, Colorado",Moffat,11,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 4 - 12.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2247,Lowest Quintile,7.7,95% C.I.: 6.5 - 10.5
16,08057955600,"Census Tract 9556, Jackson County, Colorado",Jackson,11,Second Quintile,County/Regional Estimate 21.8% (95% C.I.: 0 - 46),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1118,Middle Quintile,11.5,95% C.I.: 8.9 - 16.7
17,08121924100,"Census Tract 9241, Washington County, Colorado",Washington,1,Highest Quintile,County/Regional Estimate 18% (95% C.I.: 6.5 - 29.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1508,Highest Quintile,16.1,95% C.I.: 14.1 - 18.8
18,08107000800,"Census Tract 8, Routt County, Colorado",Routt,11,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1564,Middle Quintile,13.1,95% C.I.: 11.8 - 15.2
19,08107000700,"Census Tract 7, Routt County, Colorado",Routt,11,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4344,Highest Quintile,15.8,95% C.I.: 14 - 18.4
20,08107000500,"Census Tract 5, Routt County, Colorado",Routt,11,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3446,Fourth Quintile,15.1,95% C.I.: 13.6 - 17.5
21,08107000200,"Census Tract 2, Routt County, Colorado",Routt,11,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1467,Highest Quintile,16,95% C.I.: 14.1 - 18.4
22,08107000400,"Census Tract 4, Routt County, Colorado",Routt,11,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2537,Highest Quintile,15.5,95% C.I.: 13.6 - 18
23,08107000600,"Census Tract 6, Routt County, Colorado",Routt,11,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2359,Fourth Quintile,14.9,95% C.I.: 13.4 - 16.6
24,08107000300,"Census Tract 3, Routt County, Colorado",Routt,11,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1719,Fourth Quintile,13.6,95% C.I.: 12.3 - 15.1
25,08107000100,"Census Tract 1, Routt County, Colorado",Routt,11,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 8.8 - 19.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1488,Middle Quintile,13.4,95% C.I.: 12.2 - 14.8
26,08051963900,"Census Tract 9639, Gunnison County, Colorado",Gunnison,10,Lowest Quintile,County/Regional Estimate 8% (95% C.I.: 3.7 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),790,Lowest Quintile,6.9,95% C.I.: 5.7 - 8.6
27,08051963700,"Census Tract 9637, Gunnison County, Colorado",Gunnison,10,Lowest Quintile,County/Regional Estimate 8% (95% C.I.: 3.7 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5431,Second Quintile,9.7,95% C.I.: 8.3 - 11.9
28,08051963600,"Census Tract 9636, Gunnison County, Colorado",Gunnison,10,Lowest Quintile,County/Regional Estimate 8% (95% C.I.: 3.7 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2841,Lowest Quintile,7.7,95% C.I.: 6.6 - 9.3
29,08051963800,"Census Tract 9638, Gunnison County, Colorado",Gunnison,10,Lowest Quintile,County/Regional Estimate 8% (95% C.I.: 3.7 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3696,Lowest Quintile,8.7,95% C.I.: 7.5 - 10.2
30,08021974900,"Census Tract 9749, Conejos County, Colorado",Conejos,8,Fourth Quintile,County/Regional Estimate 16.7% (95% C.I.: 9.5 - 24),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3230,Middle Quintile,15.2,95% C.I.: 13.1 - 18.9
31,08021974800,"Census Tract 9748, Conejos County, Colorado",Conejos,8,Highest Quintile,County/Regional Estimate 16.7% (95% C.I.: 9.5 - 24),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2746,Fourth Quintile,16.3,95% C.I.: 14.1 - 20.4
32,08037000703,"Census Tract 7.03, Eagle County, Colorado",Eagle,12,Lowest Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2903,Lowest Quintile,9.6,95% C.I.: 8.7 - 10.6
33,08037000301,"Census Tract 3.01, Eagle County, Colorado",Eagle,12,Highest Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4408,Fourth Quintile,15.7,95% C.I.: 14.3 - 17.4
34,08037000702,"Census Tract 7.02, Eagle County, Colorado",Eagle,12,Second Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1226,Second Quintile,10.6,95% C.I.: 9.6 - 11.9
35,08037000402,"Census Tract 4.02, Eagle County, Colorado",Eagle,12,Fourth Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3066,Middle Quintile,14.4,95% C.I.: 13.1 - 16
36,08037000501,"Census Tract 5.01, Eagle County, Colorado",Eagle,12,Lowest Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),736,Lowest Quintile,8.9,95% C.I.: 7.9 - 10.1
37,08037000502,"Census Tract 5.02, Eagle County, Colorado",Eagle,12,Middle Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3386,Middle Quintile,13.2,95% C.I.: 12 - 14.6
38,08037000302,"Census Tract 3.02, Eagle County, Colorado",Eagle,12,Second Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1775,Middle Quintile,11.2,95% C.I.: 10.4 - 12.4
39,08037000403,"Census Tract 4.03, Eagle County, Colorado",Eagle,12,Middle Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5696,Middle Quintile,12.6,95% C.I.: 11.6 - 13.8
40,08037000701,"Census Tract 7.01, Eagle County, Colorado",Eagle,12,Second Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),855,Lowest Quintile,10.2,95% C.I.: 9.3 - 11.1
41,08037000401,"Census Tract 4.01, Eagle County, Colorado",Eagle,12,Fourth Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4015,Middle Quintile,14.4,95% C.I.: 13.2 - 15.8
42,08037000503,"Census Tract 5.03, Eagle County, Colorado",Eagle,12,Highest Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4730,Highest Quintile,18.5,95% C.I.: 17 - 20
43,08037000100,"Census Tract 1, Eagle County, Colorado",Eagle,12,Highest Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),966,Highest Quintile,18.5,95% C.I.: 17 - 20.2
44,08037000600,"Census Tract 6, Eagle County, Colorado",Eagle,12,Highest Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1234,Highest Quintile,17.1,95% C.I.: 15.6 - 18.7
45,08037000200,"Census Tract 2, Eagle County, Colorado",Eagle,12,Highest Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.7 - 19.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5280,Highest Quintile,18.2,95% C.I.: 16.7 - 19.8
46,08045951901,"Census Tract 9519.01, Garfield County, Colorado",Garfield,12,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3245,Highest Quintile,16.1,95% C.I.: 15 - 17.3
47,08045951701,"Census Tract 9517.01, Garfield County, Colorado",Garfield,12,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2944,Fourth Quintile,14.4,95% C.I.: 13.4 - 15.9
48,08045951902,"Census Tract 9519.02, Garfield County, Colorado",Garfield,12,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4757,Highest Quintile,19.3,95% C.I.: 18.1 - 20.6
49,08045951702,"Census Tract 9517.02, Garfield County, Colorado",Garfield,12,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3061,Fourth Quintile,14.6,95% C.I.: 13.6 - 15.8
50,08045952001,"Census Tract 9520.01, Garfield County, Colorado",Garfield,12,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3552,Highest Quintile,17.8,95% C.I.: 16.6 - 19.1
51,08045952002,"Census Tract 9520.02, Garfield County, Colorado",Garfield,12,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5768,Middle Quintile,14.2,95% C.I.: 13.2 - 15.2
52,08045951803,"Census Tract 9518.03, Garfield County, Colorado",Garfield,12,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4841,Highest Quintile,17.2,95% C.I.: 16 - 18.4
53,08045951804,"Census Tract 9518.04, Garfield County, Colorado",Garfield,12,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3298,Fourth Quintile,15.9,95% C.I.: 14.9 - 17.1
54,08045951802,"Census Tract 9518.02, Garfield County, Colorado",Garfield,12,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2903,Fourth Quintile,15.2,95% C.I.: 14.2 - 16.4
55,08045952100,"Census Tract 9521, Garfield County, Colorado",Garfield,12,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4673,Fourth Quintile,14.9,95% C.I.: 13.9 - 16
56,08067970704,"Census Tract 9707.04, La Plata County, Colorado",La Plata,9,Second Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3182,Second Quintile,11.5,95% C.I.: 10.6 - 12.5
57,08067970703,"Census Tract 9707.03, La Plata County, Colorado",La Plata,9,Middle Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4142,Middle Quintile,12.8,95% C.I.: 11.8 - 14
58,08067970701,"Census Tract 9707.01, La Plata County, Colorado",La Plata,9,Middle Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3722,Fourth Quintile,13.1,95% C.I.: 12.1 - 14.3
59,08067940300,"Census Tract 9403, La Plata County, Colorado",La Plata,9,Fourth Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4784,Highest Quintile,14.2,95% C.I.: 12.9 - 16.3
60,08097000500,"Census Tract 5, Pitkin County, Colorado",Pitkin,12,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 3.8 - 16.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1648,Second Quintile,11.2,95% C.I.: 9.5 - 13.7
61,08097000401,"Census Tract 4.01, Pitkin County, Colorado",Pitkin,12,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 3.8 - 16.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3913,Second Quintile,10.3,95% C.I.: 8.5 - 12.6
62,08097000402,"Census Tract 4.02, Pitkin County, Colorado",Pitkin,12,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 3.8 - 16.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2459,Lowest Quintile,10.2,95% C.I.: 8.2 - 12.8
63,08097000100,"Census Tract 1, Pitkin County, Colorado",Pitkin,12,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 3.8 - 16.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),6522,Second Quintile,10.7,95% C.I.: 8.9 - 13.1
64,08117000402,"Census Tract 4.02, Summit County, Colorado",Summit,12,Second Quintile,County/Regional Estimate 13.1% (95% C.I.: 7.4 - 18.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4011,Second Quintile,10.4,95% C.I.: 9.4 - 11.7
65,08117000401,"Census Tract 4.01, Summit County, Colorado",Summit,12,Second Quintile,County/Regional Estimate 13.1% (95% C.I.: 7.4 - 18.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3926,Second Quintile,10.7,95% C.I.: 9.5 - 12.3
66,08117000100,"Census Tract 1, Summit County, Colorado",Summit,12,Second Quintile,County/Regional Estimate 13.1% (95% C.I.: 7.4 - 18.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),6856,Second Quintile,10.4,95% C.I.: 9.2 - 12
67,08117000200,"Census Tract 2, Summit County, Colorado",Summit,12,Middle Quintile,County/Regional Estimate 13.1% (95% C.I.: 7.4 - 18.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),6181,Middle Quintile,12.9,95% C.I.: 11.5 - 14.6
68,08117000300,"Census Tract 3, Summit County, Colorado",Summit,12,Lowest Quintile,County/Regional Estimate 13.1% (95% C.I.: 7.4 - 18.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3082,Lowest Quintile,9,95% C.I.: 8 - 10.2
69,08067971100,"Census Tract 9711, La Plata County, Colorado",La Plata,9,Fourth Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4099,Highest Quintile,13.4,95% C.I.: 12.3 - 14.8
70,08067971000,"Census Tract 9710, La Plata County, Colorado",La Plata,9,Middle Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2528,Middle Quintile,12.5,95% C.I.: 11.6 - 13.7
71,08067970900,"Census Tract 9709, La Plata County, Colorado",La Plata,9,Middle Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3144,Middle Quintile,12.9,95% C.I.: 11.9 - 14.4
72,08067970800,"Census Tract 9708, La Plata County, Colorado",La Plata,9,Middle Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5764,Fourth Quintile,13,95% C.I.: 12 - 14.3
73,08067940400,"Census Tract 9404, La Plata County, Colorado",La Plata,9,Middle Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4426,Fourth Quintile,13.1,95% C.I.: 12.2 - 14.6
74,08067970600,"Census Tract 9706, La Plata County, Colorado",La Plata,9,Middle Quintile,County/Regional Estimate 12.7% (95% C.I.: 9.8 - 15.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),6943,Highest Quintile,13.2,95% C.I.: 12.2 - 14.3
75,08065961900,"Census Tract 9619, Lake County, Colorado",Lake,13,Middle Quintile,County/Regional Estimate 12.7% (95% C.I.: 5.1 - 20.2),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1735,Middle Quintile,13,95% C.I.: 10.6 - 17
76,08065961700,"Census Tract 9617, Lake County, Colorado",Lake,13,Second Quintile,County/Regional Estimate 12.7% (95% C.I.: 5.1 - 20.2),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3995,Lowest Quintile,11.3,95% C.I.: 9.2 - 15.1
77,08029965100,"Census Tract 9651, Delta County, Colorado",Delta,10,Middle Quintile,County/Regional Estimate 13.3% (95% C.I.: 9.1 - 17.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3340,Fourth Quintile,12.8,95% C.I.: 11.8 - 14.6
78,08029965200,"Census Tract 9652, Delta County, Colorado",Delta,10,Lowest Quintile,County/Regional Estimate 13.3% (95% C.I.: 9.1 - 17.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3423,Second Quintile,9.4,95% C.I.: 8.7 - 10.5
79,08029964600,"Census Tract 9646, Delta County, Colorado",Delta,10,Second Quintile,County/Regional Estimate 13.3% (95% C.I.: 9.1 - 17.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2819,Middle Quintile,11.8,95% C.I.: 10.9 - 12.9
80,08029965000,"Census Tract 9650, Delta County, Colorado",Delta,10,Second Quintile,County/Regional Estimate 13.3% (95% C.I.: 9.1 - 17.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3729,Middle Quintile,11.3,95% C.I.: 10.4 - 12.5
81,08029964900,"Census Tract 9649, Delta County, Colorado",Delta,10,Middle Quintile,County/Regional Estimate 13.3% (95% C.I.: 9.1 - 17.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4179,Fourth Quintile,12.1,95% C.I.: 11.2 - 13.9
82,08029964800,"Census Tract 9648, Delta County, Colorado",Delta,10,Lowest Quintile,County/Regional Estimate 13.3% (95% C.I.: 9.1 - 17.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3324,Second Quintile,9.9,95% C.I.: 8.9 - 11.7
83,08029964700,"Census Tract 9647, Delta County, Colorado",Delta,10,Second Quintile,County/Regional Estimate 13.3% (95% C.I.: 9.1 - 17.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3068,Second Quintile,10.3,95% C.I.: 9.4 - 11.5
84,08003960300,"Census Tract 9603, Alamosa County, Colorado",Alamosa,8,Highest Quintile,County/Regional Estimate 9.9% (95% C.I.: 3.5 - 16.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3418,Fourth Quintile,16.3,95% C.I.: 14.4 - 19.3
85,08003960200,"Census Tract 9602, Alamosa County, Colorado",Alamosa,8,Second Quintile,County/Regional Estimate 9.9% (95% C.I.: 3.5 - 16.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5502,Second Quintile,10.7,95% C.I.: 9.3 - 12.8
86,08113968102,"Census Tract 9681.02, San Miguel County, Colorado",San Miguel,10,Second Quintile,County/Regional Estimate 7.2% (95% C.I.: 0.2 - 14.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1493,Second Quintile,10.3,95% C.I.: 7.9 - 14.1
87,08113968101,"Census Tract 9681.01, San Miguel County, Colorado",San Miguel,10,Middle Quintile,County/Regional Estimate 7.2% (95% C.I.: 0.2 - 14.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1726,Fourth Quintile,12.3,95% C.I.: 9.9 - 15.4
88,08113968103,"Census Tract 9681.03, San Miguel County, Colorado",San Miguel,10,Lowest Quintile,County/Regional Estimate 7.2% (95% C.I.: 0.2 - 14.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1667,Lowest Quintile,9.4,95% C.I.: 7.7 - 11.9
89,08113968200,"Census Tract 9682, San Miguel County, Colorado",San Miguel,10,Lowest Quintile,County/Regional Estimate 7.2% (95% C.I.: 0.2 - 14.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1325,Lowest Quintile,8.7,95% C.I.: 6.8 - 11.6
90,08079973600,"Census Tract 9736, Mineral County, Colorado",Mineral,8,Highest Quintile,County/Regional Estimate 20.3% (95% C.I.: 3.7 - 36.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),674,Fourth Quintile,16.8,95% C.I.: 13.1 - 25.9
91,08083941100,"Census Tract 9411, Montezuma County, Colorado",Montezuma,9,Fourth Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.7 - 15.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),795,Highest Quintile,14,95% C.I.: 11.9 - 17.6
92,08083969400,"Census Tract 9694, Montezuma County, Colorado",Montezuma,9,Second Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.7 - 15.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2992,Second Quintile,11.3,95% C.I.: 10.1 - 13.7
93,08083969100,"Census Tract 9691, Montezuma County, Colorado",Montezuma,9,Second Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.7 - 15.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2796,Second Quintile,11.6,95% C.I.: 10.5 - 13.3
94,08083969200,"Census Tract 9692, Montezuma County, Colorado",Montezuma,9,Second Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.7 - 15.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2194,Middle Quintile,11.9,95% C.I.: 10.7 - 13.3
95,08083969000,"Census Tract 9690, Montezuma County, Colorado",Montezuma,9,Second Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.7 - 15.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2717,Second Quintile,11.7,95% C.I.: 10.6 - 13.2
96,08083969600,"Census Tract 9696, Montezuma County, Colorado",Montezuma,9,Second Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.7 - 15.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3948,Middle Quintile,11.7,95% C.I.: 10.5 - 13.5
97,08083969300,"Census Tract 9693, Montezuma County, Colorado",Montezuma,9,Second Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.7 - 15.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4434,Lowest Quintile,11.1,95% C.I.: 10 - 12.9
98,08003960000,"Census Tract 9600, Alamosa County, Colorado",Alamosa,8,Lowest Quintile,County/Regional Estimate 9.9% (95% C.I.: 3.5 - 16.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1230,Lowest Quintile,8.6,95% C.I.: 7.3 - 10.7
99,08003960100,"Census Tract 9601, Alamosa County, Colorado",Alamosa,8,Lowest Quintile,County/Regional Estimate 9.9% (95% C.I.: 3.5 - 16.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2057,Lowest Quintile,8.4,95% C.I.: 7.1 - 10.6
100,08091967600,"Census Tract 9676, Ouray County, Colorado",Ouray,10,Second Quintile,County/Regional Estimate 11.5% (95% C.I.: 2.1 - 20.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3951,Middle Quintile,10.7,95% C.I.: 8.6 - 13.6
101,08033000100,"Census Tract 1, Dolores County, Colorado",Dolores,9,Lowest Quintile,County/Regional Estimate 8% (95% C.I.: 0.2 - 15.7),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1453,Lowest Quintile,6.9,95% C.I.: 5.1 - 9.6
