OBJECTID,FIPS,NAME,COUNTY,HSR,MAP_SYMBOL,CTYREG_EST,STATE_AVG,POPOVER18,HSR_SYMBOL,DELMCC,MCONFINT
722,08101003105,"Census Tract 31.05, Pueblo County, Colorado",Pueblo,7,Middle Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2460,Lowest Quintile,13.1,95% C.I.: 12.5 - 13.8
723,08101002915,"Census Tract 29.15, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1770,Second Quintile,14.3,95% C.I.: 13.6 - 15.1
724,08101002918,"Census Tract 29.18, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4773,Middle Quintile,14.6,95% C.I.: 13.8 - 15.5
725,08101002913,"Census Tract 29.13, Pueblo County, Colorado",Pueblo,7,Middle Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2681,Lowest Quintile,12.8,95% C.I.: 12.2 - 13.5
726,08101002911,"Census Tract 29.11, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2109,Second Quintile,14.4,95% C.I.: 13.8 - 15.1
727,08101000903,"Census Tract 9.03, Pueblo County, Colorado",Pueblo,7,Middle Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),575,Lowest Quintile,13.1,95% C.I.: 12.4 - 13.9
728,08101002600,"Census Tract 26, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2773,Fourth Quintile,16.2,95% C.I.: 15.3 - 17.2
729,08101002801,"Census Tract 28.01, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4122,Middle Quintile,14.4,95% C.I.: 13.6 - 15.3
730,08101002000,"Census Tract 20, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2412,Highest Quintile,17.5,95% C.I.: 16.6 - 18.6
731,08101001800,"Census Tract 18, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1835,Fourth Quintile,15.6,95% C.I.: 14.8 - 16.5
