OBJECTID,FIPS,NAME,COUNTY,HSR,POPOVER18,MAP_SYMBOL,CTYREG_EST,STATE_AVG,HSR_SYMBOL,MNTLD,MCONFINT
771,08035014140,"Census Tract 141.40, Douglas County, Colorado",Douglas,3,3660,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7.3,95% C.I.: 7 - 7.7
772,08035014132,"Census Tract 141.32, Douglas County, Colorado",Douglas,3,3835,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.6,95% C.I.: 7.3 - 7.9
773,08035014130,"Census Tract 141.30, Douglas County, Colorado",Douglas,3,5573,Middle Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9,95% C.I.: 8.6 - 9.4
774,08035014124,"Census Tract 141.24, Douglas County, Colorado",Douglas,3,3769,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.6,95% C.I.: 7.3 - 8
775,08035014405,"Census Tract 144.05, Douglas County, Colorado",Douglas,3,5292,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,8.2,95% C.I.: 7.8 - 8.6
776,08035014505,"Census Tract 145.05, Douglas County, Colorado",Douglas,3,3553,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.6,95% C.I.: 8.1 - 9
777,08035014603,"Census Tract 146.03, Douglas County, Colorado",Douglas,3,4833,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,8.2,95% C.I.: 7.9 - 8.6
778,08035014403,"Census Tract 144.03, Douglas County, Colorado",Douglas,3,4137,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.5,95% C.I.: 7.2 - 7.9
779,08035014404,"Census Tract 144.04, Douglas County, Colorado",Douglas,3,2188,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7,95% C.I.: 6.6 - 7.3
780,08035014128,"Census Tract 141.28, Douglas County, Colorado",Douglas,3,3526,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.3,95% C.I.: 7.9 - 8.7
